stud_id,first_name,middle_name,last_name,valid_from,valid_to,latest,version_no
1,,,,5/19/2020,till date,TRUE,1
2,Merrie,Iacobetto,Handrick,2/4/2020,till date,TRUE,1
3,Tracy,Krzysztof,Stratiff,7/20/2019,till date,TRUE,1
4,Emilio,Tander,Spring,10/18/2019,till date,TRUE,1
5,Emyle,Bresnahan,Cockton,1/31/2020,till date,TRUE,1
6,Benji,Maguire,Snalham,7/26/2019,till date,TRUE,1
7,Wilhelmine,Shakesby,Josifovic,1/25/2020,till date,TRUE,1
8,Estella,Speere,Waldock,9/5/2019,till date,TRUE,1
9,Jen,Swallwell,Harvatt,9/9/2019,till date,TRUE,1
10,Rabbi,Hurd,Barwis,12/11/2019,till date,TRUE,1
11,Winfield,Pengilly,Jeremaes,2/16/2020,till date,TRUE,1
12,Ashlie,Morales,Knapton,9/4/2019,till date,TRUE,1
13,,,,11/27/2019,till date,TRUE,1
14,Sandi,Vellacott,Streatfield,6/8/2019,till date,TRUE,1
15,Ilaire,Gobel,Farrall,1/2/2020,till date,TRUE,1
16,Zuzana,Murie,Matveichev,11/28/2019,till date,TRUE,1
17,Theda,Sterland,Stannislawski,5/20/2020,till date,TRUE,1
18,Tisha,Beetham,Mapother,8/7/2019,till date,TRUE,1
19,,,,9/30/2019,till date,TRUE,1
20,,,,1/25/2020,till date,TRUE,1
21,Brigg,Gillmor,Dobbyn,5/20/2020,till date,TRUE,1
22,Dar,Curson,Spire,8/18/2019,till date,TRUE,1
23,,,,12/29/2019,till date,TRUE,1
24,Andra,Tewkesbury,Snoddy,3/15/2020,till date,TRUE,1
25,Kattie,Waight,Emma,12/16/2019,till date,TRUE,1
26,Peterus,Loram,Lindenfeld,1/4/2020,till date,TRUE,1
27,,,,4/5/2020,till date,TRUE,1
28,Kat,Zanuciolii,Bennetto,2/21/2020,till date,TRUE,1
29,Thibaut,Brute,Burkin,7/14/2019,till date,TRUE,1
30,,,,1/3/2020,till date,TRUE,1
31,Aindrea,Dissman,Donson,3/28/2020,till date,TRUE,1
32,Lucine,Spennock,Harcarse,12/20/2019,till date,TRUE,1
33,Cecilia,Grzegorzewski,Sebley,9/21/2019,till date,TRUE,1
34,Daile,Epton,Khan,12/10/2019,till date,TRUE,1
35,,,,3/31/2020,till date,TRUE,1
36,Barth,Stigell,Matzel,9/4/2019,till date,TRUE,1
37,Lemar,Linde,Wastling,1/20/2020,till date,TRUE,1
38,Erin,Burd,Tye,11/14/2019,till date,TRUE,1
39,Winston,Waldrum,Longlands,10/18/2019,till date,TRUE,1
40,Rowland,Wadworth,Osburn,8/13/2019,till date,TRUE,1
41,Louis,Hutsby,Dymoke,6/24/2019,till date,TRUE,1
42,Worthy,Schroeder,Chetwind,7/15/2019,till date,TRUE,1
43,Hewie,Stallwood,Keele,1/12/2020,till date,TRUE,1
44,,,,1/1/2020,till date,TRUE,1
45,Shaylynn,Pressman,Hotton,7/19/2019,till date,TRUE,1
46,Devonna,Wylie,Kyne,5/14/2020,till date,TRUE,1
47,Hermia,Malan,Eccleshare,7/16/2019,till date,TRUE,1
48,Herminia,Ossenna,O'Kennavain,3/28/2020,till date,TRUE,1
49,Titus,Pickerin,Kleinberer,4/14/2020,till date,TRUE,1
50,Virgilio,Algeo,Bibby,2/3/2020,till date,TRUE,1
51,Iorgo,Snellman,Mines,2/29/2020,till date,TRUE,1
52,Pier,Hulland,Quernel,6/26/2019,till date,TRUE,1
53,Melitta,Amber,Grafton-Herbert,11/14/2019,till date,TRUE,1
54,,,,7/26/2019,till date,TRUE,1
55,Lucia,Bellie,Gjerde,12/7/2019,till date,TRUE,1
56,Fredric,Tatum,Bines,12/29/2019,till date,TRUE,1
57,Gretta,Gregr,Uzzell,11/22/2019,till date,TRUE,1
58,Joanna,Ivashechkin,Lazarus,5/23/2020,till date,TRUE,1
59,Evelin,Rawlings,Elsmore,3/13/2020,till date,TRUE,1
60,Nanine,Roches,Gockeler,11/19/2019,till date,TRUE,1
61,Kary,Eagleton,How to preserve,1/2/2020,till date,TRUE,1
62,Aretha,Daykin,Hallowell,12/26/2019,till date,TRUE,1
63,Woodman,Demann,Mashal,6/21/2019,till date,TRUE,1
64,Lemmy,Rennolds,Asee,9/6/2019,till date,TRUE,1
65,,,,12/20/2019,till date,TRUE,1
66,,,,9/25/2019,till date,TRUE,1
67,,,,5/20/2020,till date,TRUE,1
